tax_id	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode79	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode51	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode42	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode49	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode08	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode06	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode45	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode39	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode50	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode32	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode46	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode16	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode71	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode11	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode24	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode89	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode59	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode53	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode52	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode48	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_unclassified-threshold-0.0001	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode04	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode30	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode44	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode36	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode47	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode05	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode62	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode34	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode33	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode10	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode37	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode60	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode31	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode14	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode25	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode35	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode03	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode96	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode41	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode19	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode56	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode61	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode27	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode58	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode43	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode15	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_unclassified	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode38	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode17	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode40	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode90	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode29	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode72	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode23	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode92	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode18	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode07	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode54	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode20	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode13	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode57	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode01	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode02	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode26-threshold-0.0001	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode55	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode22	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode12	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode28	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode09	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode76	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode26
12812		132.21909566248922																			218.74407858604505				206.40974336753703																							217.3475534830067																	762.6186756515095				232.8383572130116			762.0751037207026
12929															11.001443373693858																																	15.87836958841358	35.16878695175516																							
12972		119.80767348954764																																														26.28942122868463																								
12983																																													10.991052279890289						11.956901402282346																					
13		84.0950115995167																		48.69044904385215	113.04895877169744																				193.24815133980883							44.02613581476638																								
13091		10.8301225295669							23.926268377871057											136.23277471400215	45.41545557573118	23.13291236950902				39.0																					92.83835988191451	45.64089447342861		33.00000405921338																	24.414500349324182			15.9229393332304		
13432		40.99616143599717																																																																						
1348					483.4148236176813	20.00359623810107	43.06380030722612	18.73538512694647	21.97937146557896	13.996503597226624		26.630744676639267			66.99962068600061						297.854075601369		76.96394009620751	44.56068200851304	24.878002885593062					59.97578581722247		15.00645252823391	57.21559960335307	13.997055729898769			33.77434505651207			144.0787995855246	34.08627608159958			14.047501217967104	42.80057420629351	80.63173918564014	24.015022397170146	295.4948741011147	50.884960316331714		163.24164640378063		11.011880259618572				42.2780463885992	19.09624700200045	89.31047542426917	99.790436893372	18.55477888716152		12.802950112629048		85.8609583454783	50.80379778727392	42.03802033039796	11.999999743913332	23.25378154609748			85.35728330167751
13498																																																11.644535280777756																								
1360		200.78850482288516	130.0000033211544	171.99657206024207	3805.898677004637	239.96125885840743	461.1311948600497	459.8388315493422	329.5354370680137	81.21583976301619	76.98933283561135	458.21260009692094		27.99999988361425	218.4104112199948		148.22756314992247	98.02633073778416	402.6538298723687	43.76823446398544	2362.1484246126624	223.73795281498948	208.57432558563872	60.00011719858325	115.40823742427298	1255.0000135996097			10.0	872.6983765475344	40.99999999998226		115.7367838851244	57.967465061594616	95.999919217903	231.39062678549277	240.6451345338384			258.83504701475226	321.06823079895213			67.21903815369134	418.1950650367506	672.2159689161591	770.7552855658545	2353.5847766742254	468.1839325431594		1586.0532026776712				272.91175299816024		134.00693358635178	126.20922348700822	800.8071214652032	116.91248135791024	478.6439733587406	13.000000000384162	46.00190758057218	100.00034023564764	392.7776337350032	231.75916840539884	331.54116176278086	15.999996440039505	425.9942236213374	246.9999148149272		392.4831236048385
1364																																									12.0							22.955581606177933									69.31101555509636			40.92422930184475							20.0					
13786		13.35878980338109		235.00361570394787		121.528504499579	40.59821835015715			33.92112530729008		318.2176778609624			33.42578953907453		36.04869186294879		23.55647667776422		542.8773131937023	35.775429046476425	40.96928579887199	10.98348697222606	91.83924232316866					37.29837288957208			71.29547688944913		36.64842238402687	20.06843868897523	25.70694466929077		0.9999999999999996	100.6201154224035	15.761648096070765	112.3980955071072		37.110947633968735	85.27443730791857	107.87306038425383	17.132462665616178	539.2019609896446	72.88794713665376		83.48744770410494		144.2854303294511				17.12216308696992	13.107804280138074	66.78779226165926	76.39689347285042	144.52648504489014	386.9942531221847	23.309221732817488		529.0784004546983	384.74886761852594			11.845383303942386	14.411809799079766		528.7041951492082
1385		228.9975179418292	21.99999999999849	10.99997589036147		19.169404735055377	24.482358117000395		24.0001202885848			29.744519530391862			11.999999999992598		25.99997491995605	14.0	49.00000001807823		186.19405227483776		24.12248425046479	24.00032462020557						12.0			25.92710927688829			20.03298849366149	16.986915374324475			19.99998547957784	66.00000001088875			16.045223776151893	27.00094128850844	84.07009400132522	37.00000131533767	184.8242639381092			192.9576028513567		14.999637670581723				106.58238670843868			51.74988063414883					141.7467797956161		46.00000013766845		59.13490736160268	12.999999998818115		139.667813409744
14013																																																																						17.005719760729527		
14061								14.210382785537565		16.827958962445											49.66728512051965									12.817152443517744					10.84337231508691		62.97763888587615											49.57378881687422										42.72264712719903					26.81199975965721			11.547864976411766						
14094		55.40817962290655																																																																						
1416						22.000051837002527			82.88889897152825			50.29558872327971			111.34966134147938				16.0		132.71506446066678		18.626205368210854							18.313751861336755			57.022013556200505				27.23186006363188			20.500864824992817	13.038011843460366				24.87358885809111		32.712800845744646	132.416934720924			221.80080675204644							12.90254120589526	24.05346767411373		59.27965492200638		59.82132481115394	32.92200769038635	72.19370143721791	34.5486257704602			11.999999999996284			72.14312621893127
143																																															22.0																									
14393		59.583507824980686		515.6256773316426		44.544145679623576	50.9930855942004	33.08751903311608	11.000768842351878	155.54203670009818	12.021008010127389	445.9892805134071			546.9765263695136		14.739710962236389	18.039504498946947	13.999667402456852	11.956736664563248	1567.0564719232866	182.58972700333905	164.21053506976176	14.950332441966012	1570.8936809098052				28.999859563209576	28.00810690469477		75.11943055250057	170.76508018784332	43.98226009952867	181.00831866726745	66.20423209093973	60.20384626074773	21.999999999999982		168.22920807294847	735.1080400333184	59.87573198990193		248.51858539299295	236.99128230001057	100.88808110689332	37.87547540148676	1563.084875159722	179.1968548126328	19.45455213490725	26.474804791490293		180.62674984896717		669.8701941576344		261.19989713384024	10.905187556394418	150.65329271853432	249.45444078751012	1757.2386874424408	369.1586518871293	46.919544186568245	113.02133549773406	576.6079661703814	183.5750004278221	57.85339339676101					576.2202513855178
14444			365.8319819735136		402.0725480540155	5905.728210004009				165.65546222234124	90.98115084872234						473.9985235582237	12.000000075808918			3713.076998479614				29.000000000000743		37.172950920870825			1792.7954082459887	10603.075850685293	1326.9268564652723	58.46522120330624		219.10112088241883	61.63834679469068										2132.1009522071363	118.07307473659128	3700.7789860205057					156.92602776430172										28.9940604636							7857.446611437941		
1445																																																18.64376269702363																								
1451																																																																						12.957284926524911		
146																1.0																																																								
14683																																									13.146669227361564					13.999871541033784		13.3327357554316									46.911827131538026		17.302405034876134													
14724																														16.30733826193909																																										
14835						19.562923961933464														418.3756907149949	40.07997177121584																											40.035745889289664									84.16799509212365			15.872913451365513												
14882																															26.561205545276717																																							27.23403141750601		
1502						14.000000000001224		24.0				20.00115293440101							13.0		113.0000000020256		10.0		77.81297417199964							13.0	33.000014265028895		11.0	21.0					43.99993104827935			15.0				112.78177050612572	11.0		38.968424409609206		45.99999999999999				12.999999999999998		54.00000000007982	61.01168003842223	18.0		29.9999999942	10.0	80.0000702423171	43.0	62.99999999999999					79.94316279433995
15054																																																															14.438227146271522									
