tax_id	species	genus	family	order	class	phylum	superkingdom	barcode06	barcode13	barcode15	barcode19	barcode20	barcode16	barcode25	barcode17	barcode03	barcode01	barcode02	barcode04	barcode07	barcode14	barcode05	barcode18	barcode26	barcode28	barcode30	barcode27	barcode31	barcode29	barcode37	barcode38	barcode39	barcode40	barcode41	barcode46	barcode42	barcode49	barcode43	barcode51	barcode50	barcode55	barcode53	barcode54	barcode61	barcode62	barcode64	barcode63	barcode67	barcode52	barcode72	barcode73	barcode65	barcode74	barcode75	barcode66	barcode76	barcode79	barcode84	barcode77	barcode85	barcode87	barcode78	barcode90	barcode86	barcode91	barcode89	barcode88
591022	Blastodinium crassum	Blastodinium		Blastodiniales	Dinophyceae		Eukaryota																																																									13.204967806262296			
592011	Rhodotorula evergladensis	Rhodotorula	Sporidiobolaceae	Sporidiobolales	Microbotryomycetes	Basidiomycota	Eukaryota															15.14172296333823																																													
592161	Fergusobia sp. UPG M. decora	Fergusobia	Neotylenchidae	Rhabditida	Chromadorea	Nematoda	Eukaryota		39.796553769446746				11.683344374856492														73.83211635039548			19.09580027823261	167.4253444004728	19.129070640119416							64.77969035754546				16.17584937950585																								
59586	Corynespora cassiicola	Corynespora	Corynesporascaceae	Pleosporales	Dothideomycetes	Ascomycota	Eukaryota	69.10690912427644							115.38937774947284								107.1495686346126															21.46485461505776		24.10278483554505		38.42210171381499				119.35379469818965						165.42275992775333		18.571259466983776													44.05321310540295
596828	Pleosporales sp. MH179			Pleosporales	Dothideomycetes	Ascomycota	Eukaryota						15.20335187386567		16.380084576745684																			11.643219725140074																																	
597362	Agaricus bisporus	Agaricus	Agaricaceae	Agaricales	Agaricomycetes	Basidiomycota	Eukaryota																																						42.07658873159114																						
599822	Trichosporon sp. ES24S08	Trichosporon	Trichosporonaceae	Trichosporonales	Tremellomycetes	Basidiomycota	Eukaryota															161.03766882873697																																													
599839	Fibroporia radiculosa	Fibroporia		Polyporales	Agaricomycetes	Basidiomycota	Eukaryota																																						45.26036756534723																						
60185	Phascolomyces articulosus	Phascolomyces	Lichtheimiaceae	Mucorales	Mucoromycetes	Mucoromycota	Eukaryota																									24.761629713059744																																			
602636	Aphaenogaster fulva	Aphaenogaster	Formicidae	Hymenoptera	Insecta	Arthropoda	Eukaryota																																	25.279977793272923							51.09254162193904																				
610337	Naganishia cerealis	Naganishia	Filobasidiaceae	Filobasidiales	Tremellomycetes	Basidiomycota	Eukaryota			41.73774961866684			14.656618615687378									23.169481586693696					44.2372945635293												215.87875724536																												
61235	Fusarium equiseti	Fusarium	Nectriaceae	Hypocreales	Sordariomycetes	Ascomycota	Eukaryota								15.0023593471793																																24.658399427882536																				
61418	Spiromyces minutus	Spiromyces	Kickxellaceae	Kickxellales	Kickxellomycetes	Zoopagomycota	Eukaryota																										40.35638147665828																																		
61459	Coniosporium apollinis	Bonordeniella			Dothideomycetes	Ascomycota	Eukaryota																																	44.883461161936765																											
61621	Rhinopithecus bieti	Rhinopithecus	Cercopithecidae	Primates	Mammalia	Chordata	Eukaryota																								19.430065948132484																																				
61622	Rhinopithecus roxellana	Rhinopithecus	Cercopithecidae	Primates	Mammalia	Chordata	Eukaryota																								13.764876526039812																																				
61853	Nomascus leucogenys	Nomascus	Hylobatidae	Primates	Mammalia	Chordata	Eukaryota																								61.11684719462436																																				
62055	Cooperia curticei	Cooperia	Cooperiidae	Strongylida	Chromadorea	Nematoda	Eukaryota		29.831619386006757		49.745426164306274			17.206715478787757			22.647484380138117		22.4234900835282	18.90668190543073															1.0178571428571428														18.698267270890664	1.0240963855421688					17.768639665611897								15.084579298706322		2308.017927387541		
622444	Peronospora belbahrii	Peronospora	Peronosporaceae	Peronosporales	Oomycota		Eukaryota			38.376940548715325										21.158259119234824					19.11057727557773								73.53805355759631					297.0866092696272	106.79718724081523								56.70174319977279																				
62335	Saccharum spontaneum	Saccharum	Poaceae	Poales	Magnoliopsida	Streptophyta	Eukaryota												14.151716779697033																																																
6271	Pseudoterranova decipiens	Pseudoterranova	Anisakidae	Rhabditida	Chromadorea	Nematoda	Eukaryota																																				16.527501152152624																								
627906	uncultured Pulchromyces					Ascomycota	Eukaryota																							23.427071210865595																																					
6289	Haemonchus contortus	Haemonchus	Haemonchidae	Strongylida	Chromadorea	Nematoda	Eukaryota				39.31633367571261			29.06309147914611					15.0597815984692	330.38450539742564																				33.16325275808041							11.34649315469063		42.73081396704591				10.655778678748543		19.73063442221133		962.1178356727114					16.2830875355263	66.27603414720215		12.291565863347568		
63233	Chabertia ovina	Chabertia	Chabertiidae	Strongylida	Chromadorea	Nematoda	Eukaryota				89.23606407396055																	312.5963137720264																													58.71683664182264										
63405	Microsporum canis	Microsporum	Arthrodermataceae	Onygenales	Eurotiomycetes	Ascomycota	Eukaryota																																																									20.45572420742796			
634248	Preussia sp. JJP-2009a	Preussia	Sporormiaceae	Pleosporales	Dothideomycetes	Ascomycota	Eukaryota	15.705273810165574							22.303671915114112								42.504419139132885																			17.00739265447167				26.623207829316133						21.74116925667712															44.26998863255786
634374	Corynespora smithii	Corynespora	Corynesporascaceae	Pleosporales	Dothideomycetes	Ascomycota	Eukaryota								16.42451203407471								26.20065662672988																																												
63459	Chenopodium quinoa	Chenopodium	Chenopodiaceae	Caryophyllales	Magnoliopsida	Streptophyta	Eukaryota																																	43.05858908443887							25.359727789151066																				
641228	Spirotontonia turbinata	Spirotontonia	Tontoniidae		Spirotrichea	Ciliophora	Eukaryota				18.01990076072228		263.9505577305832					148.0924044346172	1155.150764113167		34.5360283940654	13.665777670738173			27.173384145990852				1268.5206838990018		302.3891722816919					301.3441126388028	197.5825531287314		14.08325713591614																2765.69880428014	1174.345611789272				152.7484047004623	487.5113155112202	1749.5920928289802					
644527	uncultured Candida			Saccharomycetales	Saccharomycetes	Ascomycota	Eukaryota																																														28.281171271306647														
644531	uncultured Iodophanus		Pezizaceae	Pezizales	Pezizomycetes	Ascomycota	Eukaryota																									36.42158779956937																																			
644542	uncultured Wallemia		Wallemiaceae	Wallemiales	Wallemiomycetes	Basidiomycota	Eukaryota											10.428634814202224																																																	
64495	Rhizopus oryzae	Rhizopus	Rhizopodaceae	Mucorales	Mucoromycetes	Mucoromycota	Eukaryota																										792.8518270848583							62.28787765145871					68.24762536547152		18.02137537866799						38.05140603768179														
64517	Rhizophlyctis rosea	Rhizophlyctis	Rhizophlyctidaceae	Rhizophlyctidales	Chytridiomycetes	Chytridiomycota	Eukaryota								28.6494986022924																																																				
64563	Mortierella oligospora	Mortierella	Mortierellaceae	Mortierellales	Mortierellomycetes	Mucoromycota	Eukaryota																																						58.43048929445814																						
64566	Mortierella rostafinskii	Mortierella	Mortierellaceae	Mortierellales	Mortierellomycetes	Mucoromycota	Eukaryota																																					144.31753349327022																							
