Sample_ID,Observed,Shannon,InvSimpson,barcode_16s,is_control,sample_or_control,Latitude,Longitude,Morphology_species,Sex,Age,Weight_g,Location_type,Date,conc_16s__PCR,Gene,LibrarySize,is.neg
R53__barcode57,44,2.364692047179643,6.825701370910773,barcode57,FALSE,sample,-22.579016,18.190399,Micaelamys_namaquesnsis,male,adult,39,Bush,26.03.2023,27,16,26266.999999999858,FALSE
R54__barcode58,72,2.4494379552177037,4.502858510382412,barcode58,FALSE,sample,-22.577597,18.191299,Vole,male,adult,79,Bush,26.03.2023,24,16,36050.000000048865,FALSE
R55__barcode59,47,1.2770339052215807,2.3973436249799924,barcode59,FALSE,sample,-22.577246,18.191356,Micaelamys_namaquesnsis,female,adult,51,Bush,26.03.2023,29,16,58756.99999999608,FALSE
R56__barcode60,70,2.3269482196020217,5.287956238895185,barcode60,FALSE,sample,-22.575708,18.19194,Vole,NA,adult,49,Bush,26.03.2023,5.72,16,51318.00000020609,FALSE
R47__barcode51,109,3.4796731759061883,19.665240472793037,barcode51,FALSE,sample,-22.583613,18.186369,Elephantulus_intufi,unidentified,adult,63,Bush,25.03.2023,27,16,41520.999999999105,FALSE
C2__barcode62,8,1.17304050745496,2.0468397927700095,barcode62,TRUE,control,NA,NA,NA,NA,NA,NA,NA,NA,0.3,16,1277.9999999999998,TRUE
R42__barcode46,57,2.0793433828671146,3.9161893633627205,barcode46,FALSE,sample,-22.683512,18.161339,Thallomys_paedulcus,male,adult,71,Chickens,24.03.2023,28,16,31530.999999911506,FALSE
R05__barcode07,53,1.8992555633038453,3.337613168816114,barcode07,FALSE,sample,-22.580747,18.187053,Micaelamys_namaquesnsis,male,adult,43.5,Indoors,22.03.2023,6.38,16,40286.00000011639,FALSE
R05__barcode08,34,1.573032787202361,2.3195035837370486,barcode08,FALSE,sample,-22.580747,18.187053,Micaelamys_namaquesnsis,male,adult,43.5,Indoors,22.03.2023,2.1,16,52512.99999984787,FALSE
R25__barcode29,75,2.20492505315462,4.129359422589822,barcode29,FALSE,sample,-22.613411,18.193519,Micaelamys_namaquesnsis,male,adult,64,Farm,23.03.2023,21,16,46433.99999999656,FALSE
R27__barcode31,51,2.048891323604957,5.250185076032936,barcode31,FALSE,sample,-22.683319,18.160801,Micaelamys_namaquesnsis,NA,adult,NA,House_outdoors,24.03.2023,23.8,16,44332.999999999985,FALSE
R33__barcode37,45,2.032231249993331,4.0911665935195645,barcode37,FALSE,sample,-22.683742,18.160822,Micaelamys_namaquesnsis,NA,adult,NA,Bush,24.03.2023,27.4,16,32221.999999717,FALSE
R39__barcode43,71,2.7536256172307194,9.064751971620213,barcode43,FALSE,sample,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,59,Chickens,24.03.2023,5,16,45160.99999998727,FALSE
R44__barcode48,46,1.8500024811326645,3.5605378415959157,barcode48,FALSE,sample,-22.683512,18.161339,House_mouse,male,NA,12,Chickens,24.03.2023,38,16,39745.00000003942,FALSE
R49__barcode53,42,2.0639142351455613,4.674885173349053,barcode53,FALSE,sample,-22.579136,18.194229,Micaelamys_namaquesnsis,male,adult,57,Bush,26.03.2023,31,16,35952.00000000864,FALSE
R06__barcode09,50,2.1960826611353177,5.929009786642314,barcode09,FALSE,sample,-22.580747,18.187053,Micaelamys_namaquesnsis,male,adult,84.16,Indoors,22.03.2023,30,16,35430.00000003871,FALSE
R06__barcode10,29,1.8286757097359767,4.498650618853565,barcode10,FALSE,sample,-22.580747,18.187053,Micaelamys_namaquesnsis,male,adult,84.16,Indoors,22.03.2023,28,16,32000.000000030377,FALSE
R30__barcode34,37,1.8589116663416752,4.1610940539041925,barcode34,FALSE,sample,-22.683563,18.16095,Micaelamys_namaquesnsis,NA,adult,NA,House,24.03.2023,32,16,29291.999999989846,FALSE
R43__barcode47,7,0.9137859254770708,1.7156531853280077,barcode47,FALSE,sample,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,46,Chickens,24.03.2023,0.001,16,1671,FALSE
R03__barcode05,20,1.7281942154148764,2.609424801003132,barcode05,FALSE,sample,-22.578856,18.190222,Mastomy_coucha,male,adult,32.5,Bush,22.03.2023,0.18,16,1944.0000000232376,FALSE
C1__barcode61,10,1.61238189383331,3.7348268936116167,barcode61,TRUE,control,NA,NA,NA,NA,NA,NA,NA,NA,0.4,16,2150,TRUE
