Sample,Reads,Richness
N251,NA,13.994606250526159
N251,NA,13.997438646276752
N251,NA,13.99890116767519
N251,NA,13.999588760541403
N251,NA,13.99987290677263
N251,NA,13.999970496618023
N251,NA,13.999995734106587
N251,NA,13.999999758433063
N251,NA,13.999999999200742
N251,NA,14
N301,NA,0.9999999999999988
N301,NA,10.867677533436465
N301,NA,12.622310094482478
N301,NA,13.281012388102962
N301,NA,13.586687961740113
N301,NA,13.750467003463802
N301,NA,13.84655120193571
N301,NA,13.905709743819589
N301,NA,13.942861544873466
N301,NA,13.966217936342584
N301,NA,13.980714626597663
N301,NA,13.989489926291018
N301,NA,13.994606250526159
N301,NA,13.997438646276752
N301,NA,13.99890116767519
N301,NA,13.999588760541403
N301,NA,13.99987290677263
N301,NA,13.999970496618023
N301,NA,13.999995734106587
N301,NA,13.999999758433063
N301,NA,13.999999999200742
N301,NA,14
N351,NA,0.9999999999999988
N351,NA,10.867677533436465
N351,NA,12.622310094482478
N351,NA,13.281012388102962
N351,NA,13.586687961740113
N351,NA,13.750467003463802
N351,NA,13.84655120193571
N351,NA,13.905709743819589
N351,NA,13.942861544873466
N351,NA,13.966217936342584
N351,NA,13.980714626597663
N351,NA,13.989489926291018
N351,NA,13.994606250526159
N351,NA,13.997438646276752
N351,NA,13.99890116767519
N351,NA,13.999588760541403
N351,NA,13.99987290677263
N351,NA,13.999970496618023
N351,NA,13.999995734106587
N351,NA,13.999999758433063
N351,NA,13.999999999200742
N351,NA,14
N401,NA,0.9999999999999988
N401,NA,10.867677533436465
N401,NA,12.622310094482478
N401,NA,13.281012388102962
N401,NA,13.586687961740113
N401,NA,13.750467003463802
N401,NA,13.84655120193571
N401,NA,13.905709743819589
N401,NA,13.942861544873466
N401,NA,13.966217936342584
N401,NA,13.980714626597663
N401,NA,13.989489926291018
N401,NA,13.994606250526159
N401,NA,13.997438646276752
N401,NA,13.99890116767519
N401,NA,13.999588760541403
N401,NA,13.99987290677263
N401,NA,13.999970496618023
N401,NA,13.999995734106587
N401,NA,13.999999758433063
N401,NA,13.999999999200742
N401,NA,14
N451,NA,0.9999999999999988
N451,NA,10.867677533436465
N451,NA,12.622310094482478
N451,NA,13.281012388102962
N451,NA,13.586687961740113
N451,NA,13.750467003463802
N451,NA,13.84655120193571
N451,NA,13.905709743819589
N451,NA,13.942861544873466
N451,NA,13.966217936342584
N451,NA,13.980714626597663
N451,NA,13.989489926291018
N451,NA,13.994606250526159
N451,NA,13.997438646276752
N451,NA,13.99890116767519
N451,NA,13.999588760541403
N451,NA,13.99987290677263
N451,NA,13.999970496618023
N451,NA,13.999995734106587
N451,NA,13.999999758433063
N451,NA,13.999999999200742
N451,NA,14
N501,NA,0.9999999999999988
N501,NA,10.867677533436465
N501,NA,12.622310094482478
N501,NA,13.281012388102962
N501,NA,13.586687961740113
N501,NA,13.750467003463802
N501,NA,13.84655120193571
N501,NA,13.905709743819589
N501,NA,13.942861544873466
N501,NA,13.966217936342584
N501,NA,13.980714626597663
N501,NA,13.989489926291018
N501,NA,13.994606250526159
N501,NA,13.997438646276752
N501,NA,13.99890116767519
N501,NA,13.999588760541403
N501,NA,13.99987290677263
N501,NA,13.999970496618023
N501,NA,13.999995734106587
N501,NA,13.999999758433063
N501,NA,13.999999999200742
N501,NA,14
N551,NA,0.9999999999999988
N551,NA,10.867677533436465
N551,NA,12.622310094482478
N551,NA,13.281012388102962
N551,NA,13.586687961740113
N551,NA,13.750467003463802
N551,NA,13.84655120193571
N551,NA,13.905709743819589
N551,NA,13.942861544873466
N551,NA,13.966217936342584
