tax_id,R31,R34,C1,R55,R37,R1,R22,R48,R7.b,R11,R36,R13,R43,R51,R32,R3.1,R53,R56,R1.1,R5.2,R20_19,R4,R41,R33,R50,R16,R14,R29,R5.1,R24,R54,R39,R15,R35,R10,R27,R21,R44,R40,R7.a,R38,R6.b,R49,R19,R18,R28,R25,R52,R46,R3.2,R30,R45,R42,R2.2,R12,R23,R26,R47,R6.a,C2,R9
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.004559066,,,,,,,,,,,,,,,31.09728456,,,
6385,,,,,,,,,,2.924884336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.004412434,,,,,,,,,,,,,,4,,
1385,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,1.002421667,,,,,,,,1,,,,,,2.004385968,,,,,,,,,,,,,,,,
1064,,,,,1,,,,,9,,,,,,,,16.73003802,,,,,,,,,,,,,,,,,,,,,,,,,,,2.004385965,,,,,,,,,,,,,,,,14.07197758
4992,,,,,,,,,5.031697667,4.971987767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.99956636,,1,,,,,,,,,,,,,,,,,1,,
15416,,,,,3.996867968,,,,,1,,,,,,,1,,,,,,2.002525341,,,,,,,,,,,,,,,,,,,,,2.621699715,,,,,,,,4.007096214,,,,,,,,,
4895,,1.000000046,,,,,,,1.008721275,1.544074452,,,,,,,,,,,,,1.980178441,,,,,,,,1.05143454,,,,2.000947624,,,1.013081161,,,,,,1.000001236,,2.806614765,,,,,,2.003552398,,,,2.002173866,,,1,,
17239,,3,,,1,,,,,,13.72566564,,,,,,,,,,,,1.001262626,,,,,,,,5.011111111,,,,,,,,2,1,,,1.002089864,,,,,,,,,,1,,,,,,,,
5389,,,,,,,,,,,,,,,,,1.069461488,,,,,,,52.11973202,,,,,,,,,,,,,,,1.027288769,1.356234584,,,,1.010883636,,,,,,,,,8.24349669,1.184056767,,,,,,,
6338,,,,,,,,,,,,,,,,,1,,,,,,2.002679855,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,17.55104834
1348,,,,,1.999999997,,,,,,,,1.000000015,,,,,,,12.28855721,,,,1,,,,,,,,,,2,,,,,,,,,,1,2.004385965,,,,,,,,,,,,,,,,
11780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.06091627,,,
17999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000003,1,,,,1.00175762,,,,,,2.005658812,,,,15.17019066,,,,1.07967117,,,,,,2.077171918,,
15924,,,,,,,,,,,,,,,,,,,,58.37064677,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.011110287,,,,,,,,,,,,,,4.00877193,1.001318648,,,,,,1.001786589,,,,4.004347826,,30.83944669,,,
8098,,,,,,,,,1.006339144,,,,1,,,,,,,19.45688226,,,,,,,,,17.19914347,,,,,,,,,,,,,,,1,2.004385965,,,,,,,,,,,1.001086957,,,,,
12609,,,,,,,,,,,,,,,,,,,,,,20.4785354,,,,,,,,,,14.30554306,,1.000052833,1.076898719,,,,,,,3.865256583,,,,,,,,,,,,,,,,,3.454713815,,
4910,,1,,,2.837194972,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2.004179728,,1.502672732,,,,,,,,,1.001335113,,,,55.41853318,,,
18538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.004179728,,,,,,,,,,,,,,,78.66623228,,,
3181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.352411,,,
9574,,,,,,,,,,26.23806615,,,,,,,,,,,,,,,,,,,,,26.05777778,,,,,,,,,,,1.000175857,,,3.006578947,,,,,,,,,,,,,,,,
5855,,6.000000485,,,3,,,,,1,,,,,,,1,,,,,,,2.999998847,,,13.98879103,,,,1.058622407,,,,,,,,,,,,,1,,2.002515723,,,,,,1.001776199,,,,1.001086957,,,,,
15159,,4.000003511,,,2,,,,1.037694243,,,,,,,,2,,,,,10.43596465,,,,,,,,,2.005287319,,,,2,,,,,,,,,3.938357508,2.009186009,,,,,,,,,,,,,,,,
4355,,2,,,2.000000001,,,,,1,,,,,,,2,,,,,,2.002525253,,,,,,,,3.006666667,,,,,,,,3,1,,,,1,6.01505778,,,,,,,2.003552398,,,,1.001086957,,,2,,
13786,,2.969078725,,,4.996032301,,14.10696614,,,,,,,,,,12.99657367,,,,,,1.001580165,,,,,,,,2.004724833,,,,3.025633294,,,,,,,,,1.003835782,,,,,,,,9.047720189,,,,,,,,,
2806,,,,,,,,,,,,,,,,10.49679487,1,,,,,,,,,,,,,,1.004734567,,,,,,,9.009594883,,,,,,1,,,32.89312977,,14.0774782,,,,4.000000144,,,1.001086957,,,,,
16841,,,,,,,,152.0122801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,,3.848932159,,,,,,,3.481345376,1.834376845,,,,,,,,,,,137.5997037,,10.05267222,8.968902679,,,,,,,,,,27.0122684,,17.76788379,,,8.837593964,,,5.135414416,1.677150406,27.3439715,1.005239275,,,,,,8.112729151,,3.038347151,,,,,,,,
496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,36.67749567,,,,,,,,,
7328,,2,,,3,,,,,1,,,,,,,,,,,,,6.007575717,,,,,,,,2.004444444,,,5,3,,,,,,,,,2,5.010964912,1.001257862,,,,,,,,,,1.001086957,,,,,
6828,,,,,1,,,,11.20841556,,,,,,,,,,,,,45.72938005,6.22342059,1,,,,,,,,,,,,,,,38,6.999999981,,,,,,,,,,,,,,,,,,,,,
3327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0163134,,,
91,,,,,,,17.42220612,142.3865965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.001086957,,,,,
3776,,1.001277779,,,1,,,,4.025356571,,,,,,,,,,14.5744089,,,,1.001262626,,,,,,,,4.009782573,,,1,4,,,,1,,,,,2,5.013679624,2.002514603,,,,,1.001360544,1.00306832,1,,,1.001086957,,,,,
9765,,6,,,6.999999955,,,,,,15.89172811,,,,,,1.999997764,,,,,,3.003787879,1,11.82093927,,,,,,4.008888889,,,5.000949534,1,,,,3.00000001,,,,6.012583855,1.002046914,,1.001257862,,,,,,2.003552398,1,2.011177379,,,,,,,
5127,,,,11.27739724,,,,,,19.99976012,,,,,,,2,,,,,,,,45.17243087,,,,,,,,,,,,,,,,,,,,8.582986315,,,,,,,,,,,11.01195652,,,,,
5579,,,,,,,,,,,,,,,,,,,,,,,,25.07339552,,,,,,,,,,4.555643498,2.009313895,16.63288203,,,2.927835343,,,,,,,7.133762822,,,,,20.86763539,,13.37657088,,,,,,,,
10114,,1.000012138,,,1.003132032,,28.66316359,,,,12.66815904,3.004231312,,,,,,16.12541086,,,,,,1,,,,13.99414321,,,4.994264916,,,,1.999890875,,,,,,,1.99999994,,4.000802685,,1.001257862,,,,,,10.01699201,,,,13.01764439,,,,,
19560,,,1.020408163,,1,,,,,,,,,,,,,,,36.86567164,,,,,,,,46.2866242,,,,,13.10683349,,,,,,,,,,,,,,,,,,,,,2.002670227,,,,,,2,
36,,,,,,,,,,,,,,,,,,,,,,38.60925264,,43.01108112,,,,,,,,17.19981529,,,,,,1.001066098,,,,35.26329813,,,,3.004069978,,,,,,,1,,,,,,24.54331931,,
10539,,10.00000099,,,,,13.54036472,,2.012779051,1,,,,,,,,16.70678984,,,,,1.961175037,,,19.16867118,,,,,16.4714259,,,,2.001007081,,,5.156447098,,2,,,,1,,4.004968257,,,,,,2.030896773,,,,3.007144806,,,,,
9678,,,,,,,23.02037598,,16.75090318,,,,,,,,,,,,,36.15925674,,,,,,,,,,,,,,,,,,24.99283682,,,28.17319305,,3.850691299,,,,,,,,4.014421148,,,,,,,,
10465,,,,,5.014907048,,,,,,,,,20.34017948,,,,,,,,,,,,,,,,,3.992664076,,,,1.005592757,,,,,,,,,1.99322828,1.051437938,2.962615487,,,,,,5.081653025,2,,,6.80874747,28.20455275,,,,
227,,3.005491008,,,2.316330485,,,,,3,,,,,20.69936039,,2,17.75623531,,,,,9.011604455,2.003719692,,,,,,,5.180191266,,,1,1,,,,3.999910181,,,,,7.031803339,,2.002515724,,,,,,1.001776199,3.000970501,,,3.003731064,,,,,
