SampleID,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance,barcode_16s,is_control,sample_or_control,Latitude,Longitude,Morphology_species,Sex,Age,Weight_g,Location_type,Date,conc_16s__PCR,Gene,LibrarySize,is.neg
R28__barcode32,52,52,4.99135163499252,0.7996534660092128,2.3244408007217396,2,0.9888295750743422,0.5882807961935232,0.09598753144216385,0.222388414220129,0.29954258667494427,0.40851689252786977,0.5188109613156905,11706.868589160698,0.40851689252786977,0.20034653399078717,0.7773486135821271,0.9722307276781783,2.0603671435018645,0.025210621465961185,0.06738664759922364,barcode32,FALSE,sample,-22.683319,18.160801,Micaelamys_namaquesnsis,NA,adult,NA,House_outdoors,24.03.2023,20.8,16,28656.99999997438,FALSE
R29__barcode33,80,80,8.482363603352706,0.8821083312669191,2.804381092397857,4,0.9003687119674648,0.6399735387748424,0.10602954504190883,0.19592964938746515,0.3037304398029853,0.2736091497946234,0.42525909485525265,10802.70547777831,0.2736091497946234,0.11789166873308093,0.38677352678893895,0.9573262170163925,2.0607662448183226,0.032490772992357975,0.05042504843497375,barcode33,FALSE,sample,-22.683382,18.16094,Micaelamys_namaquesnsis,NA,adult,NA,House,24.03.2023,33,16,39856.99999962784,FALSE
R31__barcode35,62,62,6.728883233693142,0.851386929261492,2.4883309044911828,3,0.981286880281463,0.6029197676498717,0.10853037473698617,0.20569193610254477,0.28538648615905465,0.2596050206587872,0.4979161758657904,10880.046415801811,0.2596050206587872,0.1486130707385081,0.8847691119634296,0.9686558745178209,2.0583116313396346,0.024368869346865222,0.027298904816228542,barcode35,FALSE,sample,-22.683563,18.16095,Micaelamys_namaquesnsis,NA,adult,NA,House,24.03.2023,20,16,41909.99999996934,FALSE
R32__barcode36,70,70,7.66734403657142,0.8695767406248844,2.6304908352835503,3,0.9082458681578806,0.6191582396629147,0.10953348623673456,0.19725192642451606,0.2928318553258555,0.2604709998534967,0.4440472534437457,13513.235472405411,0.2604709998534967,0.1304232593751156,0.7453750627552561,0.9641540084833755,2.0593113069069977,0.024969945608306943,0.09889279655068228,barcode36,FALSE,sample,-22.683742,18.160822,Micaelamys_namaquesnsis,NA,adult,NA,Bush,24.03.2023,16.3,16,51880.00000002305,FALSE
R34__barcode38,61,61,9.27149425702583,0.8921425206899943,2.745742548584714,4,0.9550999323289934,0.6679218675411432,0.15199170913157098,0.21236244572397678,0.33593845050978755,0.22844869824801123,0.35577285958208327,7158.211510902464,0.22844869824801123,0.10785747931000568,0.7620550818220355,0.9615244042019224,2.0574042876735126,0.020206932753701248,0.062455973401638776,barcode38,FALSE,sample,-22.683846,18.160353,Micaelamys_namaquesnsis,male,juvenile,19,Bush,24.03.2023,12,16,31333.99999999685,FALSE
R35__barcode39,59,59,5.981514839090653,0.8328182698027,2.322586726087027,2,0.982486073593578,0.5696052477846307,0.10138160744221446,0.2113221736462353,0.2619526336953903,0.28578090175764714,0.5193121328163761,9483.067663025373,0.28578090175764714,0.16718173019730004,0.5811708781596476,0.9731033783433327,2.05796703458614,0.02211597167035822,0.1384078591658029,barcode39,FALSE,sample,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,61,Bush,24.03.2023,3.2,16,33183.00000000479,FALSE
R36__barcode40,74,74,7.271986705043587,0.8624859972163541,2.743138901168313,4,0.6191310052137846,0.6373367599620055,0.09827009060869712,0.19640929127072204,0.32065359676773786,0.327136956530071,0.4211308975526394,17231.198332821485,0.327136956530071,0.13751400278364592,0.3919193994928748,0.9585799303973612,2.0563968371220485,0.03131527521691092,0.0662154443489048,barcode40,FALSE,sample,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,52,Bush,24.03.2023,11,16,52806.99999973892,FALSE
R37__barcode41,63,63,5.403651240056102,0.814939944201577,2.554369745282887,3,0.9565405153737986,0.6165306981237412,0.08577224190565241,0.26553717082706696,0.3295425749412133,0.39943657175603,0.48182554628842966,11072.781205692276,0.39943657175603,0.18506005579842302,0.7944766201593757,0.9616650437437828,2.0610719203470604,0.024357600404083742,0.11705417558392095,barcode41,FALSE,sample,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,62,Bush,24.03.2023,18,16,27721.000000108575,FALSE
R38__barcode42,49,49,2.3274149134320448,0.5703387504184274,1.5129126958555716,1,0.9934649271794523,0.3887416632751645,0.047498263539429486,0.22010504583309498,0.19730975041281837,0.6336750138153522,0.7859109126215693,28899.382680090737,0.6336750138153522,0.42966124958157265,0.778452326499194,0.984861146601506,2.059591205581804,0.023016035701068395,0.01511767776976436,barcode42,FALSE,sample,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,46,Chickens,24.03.2023,14,16,45606.00000004385,FALSE
R40__barcode44,55,55,2.960755997024445,0.6622484254004726,1.887283038623012,1,0.9915252822454168,0.47095735527504634,0.05383192721862627,0.2018000007084083,0.24131676434343113,0.5640400634303478,0.6542695852750591,21305.485315973507,0.5640400634303478,0.3377515745995274,0.8658496323308837,0.9789860185628845,2.05899498483627,0.019982852891663783,0.04624706189981709,barcode44,FALSE,sample,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,56,Chickens,24.03.2023,18,16,37773.000000033644,FALSE
