tax_id	species	genus	family	order	class	phylum	superkingdom
5955				Oscillospirales	Clostridia	Firmicutes	Bacteria
60		Streptomyces	Streptomycetaceae	Streptomycetales	Actinobacteria	Actinobacteriota	Bacteria
6032	koyangensis;	Streptomyces	Streptomycetaceae	Streptomycetales	Actinobacteria	Actinobacteriota	Bacteria
6036		Lachnospiraceae NC2004 group	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
6046		Odoribacter	Marinifilaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
6075		Lachnospiraceae AC2044 group	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
6100		Oscillibacter	Oscillospiraceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
6149		Raoultibacter	Coriobacteriales Incertae Sedis	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria
617		Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteriota	Bacteria
6217	magnusonii;	Aquitalea	Chromobacteriaceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria
6223			Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
6241	shahii;	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
6338		Butyricicoccus	Butyricicoccaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
6385		Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
6481		Eisenbergiella	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
6493		UCG-009	Butyricicoccaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
6524	comes;	Coprococcus	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
6570		[Ruminococcus] gnavus group	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
6637	muciniphila;	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobiota	Bacteria
6684		UBA1819	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
6756		Agathobacter	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
6828		Cellulosilyticum	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
6830		Anaerostipes	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
687		Lacticaseibacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
6972		Lachnospiraceae ND3007 group	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
7045		Phascolarctobacterium	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria
7047		Subdoligranulum	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
7050		Kurthia	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
7058		Tuzzerella	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
707		Neisseria	Neisseriaceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria
7086		Romboutsia	Peptostreptococcaceae	Peptostreptococcales-Tissierellales	Clostridia	Firmicutes	Bacteria
7087		Holdemanella	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
7096		Lachnospiraceae UCG-008	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
7136	aurantiacus;	Microlunatus	Propionibacteriaceae	Propionibacteriales	Actinobacteria	Actinobacteriota	Bacteria
7138		Prevotellaceae UCG-001	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
7170	hominis;	Romboutsia	Peptostreptococcaceae	Peptostreptococcales-Tissierellales	Clostridia	Firmicutes	Bacteria
7176		[Eubacterium] hallii group	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
719		Microvirga	Beijerinckiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
7286			F082	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
731	cohnii;	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
7328				RF39	Bacilli	Firmicutes	Bacteria
74		Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
7433	aetherius;	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcota	Bacteria
